group,row,col,value,unit,note
A_plus,Bx,d2,-22530.37849593058,nT/MHz,Pseudoinverse converting frequency shifts to B-field
A_plus,Bx,d3,-407.55078704729686,nT/MHz,Pseudoinverse converting frequency shifts to B-field
A_plus,Bx,d4,-322.2730198197381,nT/MHz,Pseudoinverse converting frequency shifts to B-field
A_plus,By,d1,-1968.0138347788636,nT/MHz,Pseudoinverse converting frequency shifts to B-field
A_plus,By,d2,-2925.969295181674,nT/MHz,Pseudoinverse converting frequency shifts to B-field
A_plus,By,d3,-22872.279877274672,nT/MHz,Pseudoinverse converting frequency shifts to B-field
A_plus,By,d4,-22384.33726748182,nT/MHz,Pseudoinverse converting frequency shifts to B-field
A_plus,Bz,d1,-15620.22218978958,nT/MHz,Pseudoinverse converting frequency shifts to B-field
A_plus,Bz,d2,15784.051464043103,nT/MHz,Pseudoinverse converting frequency shifts to B-field
A_plus,Bz,d3,-13867.328231254907,nT/MHz,Pseudoinverse converting frequency shifts to B-field
A_plus,Bz,d4,14754.84658967281,nT/MHz,Pseudoinverse converting frequency shifts to B-field
A_plus_mT,Bx,d1,-0.022954201722047225,mT/MHz,Same A_plus shown in mT/MHz for comparison
A_plus_mT,Bx,d2,-0.02253037849593058,mT/MHz,Same A_plus shown in mT/MHz for comparison
A_plus_mT,Bx,d3,-0.00040755078704729687,mT/MHz,Same A_plus shown in mT/MHz for comparison
A_plus_mT,Bx,d4,-0.0003222730198197381,mT/MHz,Same A_plus shown in mT/MHz for comparison
A_plus_mT,By,d1,-0.0019680138347788634,mT/MHz,Same A_plus shown in mT/MHz for comparison
A_plus_mT,By,d2,-0.002925969295181674,mT/MHz,Same A_plus shown in mT/MHz for comparison
A_plus_mT,By,d3,-0.022872279877274672,mT/MHz,Same A_plus shown in mT/MHz for comparison
A_plus_mT,By,d4,-0.02238433726748182,mT/MHz,Same A_plus shown in mT/MHz for comparison
A_plus_mT,Bz,d1,-0.01562022218978958,mT/MHz,Same A_plus shown in mT/MHz for comparison
A_plus_mT,Bz,d2,0.015784051464043103,mT/MHz,Same A_plus shown in mT/MHz for comparison
A_plus_mT,Bz,d3,-0.013867328231254906,mT/MHz,Same A_plus shown in mT/MHz for comparison
A_plus_mT,Bz,d4,0.014754846589672809,mT/MHz,Same A_plus shown in mT/MHz for comparison
